beer/name, beer/beerId, beer/brewerId, beer/ABV, beer/style, review/appearance, review/aroma, review/palate, review/taste, review/overall, review/profileName
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),5,4,3.5,4,3.5,ccrida
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,3.5,4,4,4.5,brentk56
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4.5,4,5,BeerZack
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,3.5,4,russpowell
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3,4,4,Spikester
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,2.5,3,3,3,Dubbercody
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,3.5,3,3,ChainGangGuy
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4.5,4,4.5,Vancer
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,4,4.5,ghostwalker
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4,udubdawg
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4.5,4,cburian
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4,4.5,flexabull
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3,2.5,3.5,4,mnwags
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4.5,4,4.5,NeroFiddled
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,4,5,IntriqKen
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,4,3.5,3,3.5,JoshD
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,lackenhauser
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4.5,kgotcher
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,4,3.5,4,4.5,MLegendre
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3,3,3,freed
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,4,4,ddarden
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,3.5,4,ElGordo
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4.5,4,4,4.5,BuckeyeNation
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,4,4,Reidrover
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4,BeerLover99
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,3.5,3.5,syrupjoe
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4.5,4.5,4,4,BrewerB
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,3.5,4,3,3.5,vande
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,4,4,ColForbinBC
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,2.5,3.5,3,3,harrymel
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,3.5,3.5,4,4,woosterbill
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4,ReelBigwigFish
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4.5,4,4,cbarrett4
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,chodinheaven
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,4,3.5,Beerandraiderfan
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,3.5,4,4,4,MrVonzipper
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,4,3.5,witster18
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4.5,4,4,jeff1973
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4.5,4,Duff27
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,4,3,3,Phelps
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3,3.5,3.5,mgbickel
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,2.5,3,Jimmys
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,3.5,4,Scotchboy
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3,3,3,TheGordianKnot
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,3.5,3.5,loren01
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4,3.5,rootbeerman
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4,corby112
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,3.5,3.5,inlimbo77
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,5,4.5,4,4.5,youradhere
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,2,2.5,2.5,Thorpe429
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4.5,4,FosterJM
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),2,2,4,4,4.5,bobhits
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3,3.5,3.5,u2carew
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3,4,3,beerman207
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,4,3.5,BEERchitect
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,4,4,msubulldog25
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,3.5,4,climax
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),5,4,4,4,4,AEK
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,3,2.5,3,3,Tilley4
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4.5,4.5,4,4.5,wcudwight
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,3.5,3,4,kzoobrew
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4,3.5,hawks10
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4.5,dudemuskie
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,3.5,4,elgiacomo
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,4,2.5,4,ArrogantB
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4.5,4,stephens101
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,5,3.5,3.5,StaveHooks
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,3.5,3.5,GarrettMD
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4,barleywinefiend
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4.5,4,4.5,merlin48
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,3.5,3,3.5,jampics2
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,5,4,5,ThreeWiseMen
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,3,4,4,philbertk
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4.5,Brent
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,3,3,Bubba83
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4,BeerAdvocate
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,mikereaser
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,4,4,4,jkrich
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,3.5,4.5,SpdKilz
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,4,4,barleywinefiend
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,3.5,4,joepais
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4,4,Beejay
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),2.5,3.5,3,4.5,4,Bfarr
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,3.5,4,robwestcott
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4,tempest
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4.5,indiapaleale
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4.5,Cresant
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,3,3,Bitterbill
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4,4.5,hosehead83
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4.5,4,kshankar
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4.5,bump8628
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,WesWes
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),2.5,3,2.5,3,3,beertunes
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,3.5,4,ClockworkOrange
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),5,3.5,4.5,4,4,organicbrewer
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4.5,4,5,onix1agr
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,dedrinker
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4.5,4,4.5,4.5,woodychandler
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,3.5,3.5,3.5,3.5,therica
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4,4.5,rfgetz
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,3,4,JohnGalt1
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4.5,5,womencantsail
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4.5,4,4.5,4.5,ckeegan04
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,3.5,4.5,WeisGuy
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3,5,5,5,5,cjever19
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,4,5,4.5,Rmassimiano
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4.5,4.5,droomyster
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4,4,flagmantho
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,3.5,4,4,snaotheus
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4.5,RoyalT
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4,3.5,Slatetank
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,3.5,4,philbe311
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4,4,Deuane
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,3.5,3,3.5,Halcyondays
Pilot Rock Porter,10788,1075,5.80,American Porter,4.5,4.5,4.5,5,4.5,Cyberkedi
Pilot Rock Porter,10788,1075,5.80,American Porter,4,4,4.5,4,4,CaptainIPA
Pilot Rock Porter,10788,1075,5.80,American Porter,3,3.5,5,4.5,4.5,anchordrinker
Pilot Rock Porter,10788,1075,5.80,American Porter,4,4,4,4.5,4.5,spointon
Pilot Rock Porter,10788,1075,5.80,American Porter,4,3.5,3.5,3.5,3.5,slaintemhor
Pilot Rock Porter,10788,1075,5.80,American Porter,4.5,4,4,4,5,Reidrover
Pilot Rock Porter,10788,1075,5.80,American Porter,4.5,3.5,4.5,4,4.5,Gavage
Pilot Rock Porter,10788,1075,5.80,American Porter,3.5,3.5,3.5,3,3.5,Thrasher
Pilot Rock Porter,10788,1075,5.80,American Porter,3,2.5,2.5,3,2.5,RedDiamond
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,2,3.5,3.5,BilbosNuts
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,2,4,3,2.5,3,n2185
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,3.5,3,3.5,3.5,russpowell
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,3.5,4,4,mjyoung
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,3.5,3.5,3.5,phichifiji00
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,4,3.5,3.5,mgbickel
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3,3.5,4,4,vande
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,3.5,3.5,3,oline73
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,3.5,3.5,4.5,pitasoup
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,3.5,4,4,4,match1112
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,3,3.5,3,3.5,Siggy125
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,3.5,3.5,3.5,beer2day
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,3.5,4,4,Knapp85
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4.5,4,4,3.5,4,Urbancaver
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,4,4,4,sgsmfdoom
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3,4,3.5,4,Nashvillain
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,4,4,4,CHILLINDYLAN
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,4,3.5,4,emmasdad
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,4,3.5,3.5,3.5,Bendurgin
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3,3.5,3.5,3.5,BuckeyeNation
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,3.5,3.5,3.5,3.5,BeerAdvocate
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,4,4,4,GarthDanielson
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,4,3.5,4,4,chumba526
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,2.5,3.5,3,3,Xul
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,2.5,3.5,3.5,3.5,Docer
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,2.5,2.5,2,2,rand
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,2.5,2,1,2.5,2.5,Arbitrator
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,3.5,3,3,3,ccrida
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,4,4,4,brewandbbq
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,3.5,4,2.5,3,3,GradyS1
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,3.5,3.5,3.5,3,meatyard
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,4,3.5,4,Mora2000
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4,4,3.5,4,5,GRG1313
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4.5,3.5,4,3,4,zoso1967
Vas Deferens Ale,58920,1075,8.10,Belgian Strong Dark Ale,4.5,3.5,3.5,4,3.5,DeanMoriarty
